sectioncode,Municipio,Mesa,sec,dis,Votos Totales,Votos Blancos,Votos Nulos,IZQESP,CEUS,FO,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),JUNTS UE,PSOE,ANDALUCISTAS,IE,VOX,PP,ESCAÑOS EN BLANCO,CRT,PODEMOS,PFAC,PCTE,PCPE/PCPC,SUMAR ANDALUCÍA,PACMA,CREE EN EUROPA,PMR,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",F,EXISTE,Cs,FE de las JONS,SAE,J.U.E.X.,PH,VOLT,RECORTES CERO,EXTREMEÑOS,GLG,PIRATAS / REBELDES,PREPAL,max,p_ganador,ganador,%blanco,%nulo,IZQESP,CEUS,FO,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),JUNTS UE,PSOE,ANDALUCISTAS,IE,VOX,PP,ESCAÑOS EN BLANCO,CRT,PODEMOS,PFAC,PCTE,PCPE/PCPC,SUMAR ANDALUCÍA,PACMA,CREE EN EUROPA,PMR,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",F,EXISTE,Cs,FE de las JONS,SAE,J.U.E.X.,PH,VOLT,RECORTES CERO,EXTREMEÑOS,GLG,PIRATAS / REBELDES,PREPAL,Distrito
2900101001,Alameda,1001,1,1,629,6,7,1,0,0,0,0,311,0,0,27,160,0,0,21,0,1,0,69,2,0,3,20,0,0,1,0,0,0,0,0,0,0,0,0,0,311,6,PSOE,1,"1,1","0,2",0,0,0,0,"49,4",0,0,"4,3","25,4",0,0,"3,3",0,"0,2",0,11,"0,3",0,"0,5","3,2",0,0,"0,2",0,0,0,0,0,0,0,0,0,0,"Sección 1,Distrito 1"
2900101002,Alameda,1002,2,1,405,3,4,0,0,0,3,0,162,0,0,24,136,1,0,7,0,0,0,43,0,1,0,17,0,0,3,0,0,0,0,1,0,0,0,0,0,162,6,PSOE,"0,7",1,0,0,0,"0,7",0,40,0,0,"5,9","33,6","0,2",0,"1,7",0,0,0,"10,6",0,"0,2",0,"4,2",0,0,"0,7",0,0,0,0,"0,2",0,0,0,0,0,"Sección 2,Distrito 1"
2900101003,Alameda,1003,3,1,400,2,2,0,0,0,0,0,230,2,0,10,37,0,0,11,0,0,0,84,0,1,0,18,0,0,2,0,0,0,0,1,0,0,0,0,0,230,6,PSOE,"0,5","0,5",0,0,0,0,0,"57,5","0,5",0,"2,5","9,3",0,0,"2,8",0,0,0,21,0,"0,3",0,"4,5",0,0,"0,5",0,0,0,0,"0,3",0,0,0,0,0,"Sección 3,Distrito 1"
2900101004,Alameda,1004,4,1,403,4,7,0,0,1,0,0,167,0,1,24,127,0,0,11,1,2,1,40,0,4,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,167,6,PSOE,1,"1,7",0,0,"0,2",0,0,"41,4",0,"0,2",6,"31,5",0,0,"2,7","0,2","0,5","0,2","9,9",0,1,0,"2,7",0,0,"0,5",0,0,0,0,0,0,0,0,0,0,"Sección 4,Distrito 1"
2900201001,Alcaucín,1001,1,1,525,4,7,0,0,2,0,0,186,0,5,68,170,0,0,18,1,0,1,12,3,3,0,34,0,0,7,1,0,0,0,3,0,0,0,0,0,186,6,PSOE,"0,8","1,3",0,0,"0,4",0,0,"35,4",0,1,13,"32,4",0,0,"3,4","0,2",0,"0,2","2,3","0,6","0,6",0,"6,5",0,0,"1,3","0,2",0,0,0,"0,6",0,0,0,0,0,"Sección 1,Distrito 1"
2900301001,Alfarnate,1001,1,1,471,1,4,2,0,1,0,0,212,1,1,39,145,1,0,8,0,2,2,30,0,0,0,19,0,0,2,0,0,0,0,1,0,0,0,0,0,212,6,PSOE,"0,2","0,8","0,4",0,"0,2",0,0,45,"0,2","0,2","8,3","30,8","0,2",0,"1,7",0,"0,4","0,4","6,4",0,0,0,4,0,0,"0,4",0,0,0,0,"0,2",0,0,0,0,0,"Sección 1,Distrito 1"
2900401001,Alfarnatejo,1001,1,1,141,3,2,0,0,1,0,0,48,0,0,13,56,0,0,2,1,0,1,0,0,1,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,56,10,PP,"2,1","1,4",0,0,"0,7",0,0,34,0,0,"9,2","39,7",0,0,"1,4","0,7",0,"0,7",0,0,"0,7",0,"8,5",0,0,"0,7",0,0,0,0,0,0,0,0,0,0,"Sección 1,Distrito 1"
2900501001,Algarrobo,1001,1,1,391,3,1,0,0,2,1,0,95,0,0,68,150,0,0,8,1,0,0,5,2,0,0,52,0,0,1,0,0,0,0,2,0,0,0,0,0,150,10,PP,"0,8","0,3",0,0,"0,5","0,3",0,"24,3",0,0,"17,4","38,4",0,0,2,"0,3",0,0,"1,3","0,5",0,0,"13,3",0,0,"0,3",0,0,0,0,"0,5",0,0,0,0,0,"Sección 1,Distrito 1"
2900501002,Algarrobo,1002,2,1,397,0,2,1,0,0,1,0,100,0,3,59,139,0,0,5,0,1,0,7,2,0,0,71,0,0,2,0,0,0,0,2,1,0,0,1,0,139,10,PP,0,"0,5","0,3",0,0,"0,3",0,"25,2",0,"0,8","14,9",35,0,0,"1,3",0,"0,3",0,"1,8","0,5",0,0,"17,9",0,0,"0,5",0,0,0,0,"0,5","0,3",0,0,"0,3",0,"Sección 2,Distrito 1"
2900501003,Algarrobo,1003,3,1,521,5,2,0,0,2,0,0,148,2,0,56,226,0,0,8,1,1,0,15,3,0,0,44,0,0,8,0,0,0,0,0,0,0,0,0,0,226,10,PP,1,"0,4",0,0,"0,4",0,0,"28,4","0,4",0,"10,7","43,4",0,0,"1,5","0,2","0,2",0,"2,9","0,6",0,0,"8,4",0,0,"1,5",0,0,0,0,0,0,0,0,0,0,"Sección 3,Distrito 1"
