via,tipo,pk,sentido,lat,long,Geo
A-355,Radar fijo,"28,5",Marbella,36.563905,-4.862544,"A-355, kilómetro 28,50, Málaga (Spain)"
A-356,Radar fijo,"36,53",Vélez-Málaga,36.853613,-4.146756,"A-356, kilómetro 36,53, Málaga (Spain)"
A-357,Radar fijo,"38,93",Cártama,36.775845,-4.740959,"A-357, kilómetro 38,93, Málaga (Spain)"
A-367,Radar fijo,"22,8",Campillos,36.871871,-5.050043,"A-367, kilómetro 22,80, Málaga (Spain)"
A-384,Radar fijo,"89,6",Campillos,37.006069,-5.033191,"A-384, kilómetro 89,60, Málaga (Spain)"
A-397,Radar fijo,7,San Pedro de Alcántara,36.701789,-5.12592,"A-397, kilómetro 7,00, Málaga (Spain)"
A-397,Radar fijo,"11,05",San Pedro de Alcántara,36.675904,-5.118909,"A-397, kilómetro 11,05, Málaga (Spain)"
A-45,Radar fijo,"103,3",Córdoba,37.039976,-4.499536,"A-45, kilómetro 103,30, Málaga (Spain)"
A-45,Radar fijo,"118,09",Málaga,36.940061,-4.439432,"A-45, kilómetro 118,09, Málaga (Spain)"
A-7,Radar fijo,"978",Decreciente,36.732256,-4.353156,"A-7, kilómetro 246,05, Málaga (Spain)"
A-7,Radar fijo,"968",Creciente,36.725073,-4.25264,"A-7, kilómetro 256,76, Málaga (Spain)"
A-7,Radar fijo,"1049",Decreciente,36.524668,-4.974587,"A-7, kilómetro 175,80, Málaga (Spain)"
A-7052,Radar fijo,"3,5",Cártama,36.697383,-4.565362,"A-7052, kilómetro 3,50, Málaga (Spain)"
A-7053,Radar fijo,"11,1",Fuengirola,36.548276,-4.674276,"A-7053, kilómetro 11,10, Málaga (Spain)"
A-7054,Radar fijo,"8,75",Pizarra,36.733324,-4.579786,"A-7054, kilómetro 8,75, Málaga (Spain)"
MA-20,Radar fijo,"10,45",Torremolinos,36.72514,-4.454246,"MA-20, kilómetro 10,45, Málaga (Spain)"
A-343,Radar móvil,"2,44 - 53,15",Ambos,36.934121,-4.680071,"A-343, kilómetro 27,80, Málaga (Spain)"
A-355,Radar móvil,"9,24 - 21,69",Ambos,36.636604,-4.807687,"A-355, kilómetro 15,47, Málaga (Spain)"
A-356,Radar móvil,"0,17 - 18,51",Ambos,36.910117,-4.354259,"A-356, kilómetro 9,34, Málaga (Spain)"
A-356,Radar móvil,"18,51 - 48,55",Ambos,36.860381,-4.164283,"A-356, kilómetro 33,53, Málaga (Spain)"
A-357,Radar móvil,"0,00 - 46,87",Ambos,36.879041,-4.83748,"A-357, kilómetro 23,44, Málaga (Spain)"
A-366,Radar móvil,"0,00 - 42,24",Ambos,36.787602,-4.981936,"A-366, kilómetro 21,12, Málaga (Spain)"
A-366,Radar móvil,"42,27 - 60,62",Ambos,36.680948,-4.827611,"A-366, kilómetro 51,45, Málaga (Spain)"
A-367,Radar móvil,"22,94 - 40,80",Ambos,36.817848,-5.098033,"A-367, kilómetro 31,87, Málaga (Spain)"
A-367,Radar móvil,"4,32 - 22,94",Ambos,36.913246,-4.981057,"A-367, kilómetro 13,63, Málaga (Spain)"
A-369,Radar móvil,"0,00 - 36,38",Ambos,36.640873,-5.24659,"A-369, kilómetro 18,19, Málaga (Spain)"
A-374,Radar móvil,"8,75 - 33,79",Ambos,36.778165,-5.232378,"A-374, kilómetro 21,27, Málaga (Spain)"
A-384,Radar móvil,"108,31 - 131,13",Ambos,37.062067,-4.717739,"A-384, kilómetro 119,72, Málaga (Spain)"
A-384,Radar móvil,"82,22 - 108,31",Ambos,37.01236,-4.979644,"A-384, kilómetro 95,27, Málaga (Spain)"
A-387,Radar móvil,"0,00 - 13,28",Ambos,36.60692,-4.686787,"A-387, kilómetro 6,64, Málaga (Spain)"
A-387,Radar móvil,"13,28 - 19,28",Ambos,36.577532,-4.636415,"A-387, kilómetro 16,28, Málaga (Spain)"
A-397,Radar móvil,"0,00 - 34,13",Ambos,36.640428,-5.090533,"A-397, kilómetro 17,07, Málaga (Spain)"
A-397,Radar móvil,"34,13 - 48,67",Ambos,36.539434,-5.008638,"A-397, kilómetro 41,40, Málaga (Spain)"
A-402,Radar móvil,"44,79 - 59,49",Ambos,36.911922,-4.134319,"A-402, kilómetro 52,14, Málaga (Spain)"
A-404,Radar móvil,"0,00 - 24,58",Ambos,36.652278,-4.648562,"A-404, kilómetro 12,29, Málaga (Spain)"
A-405,Radar móvil,"0,00 - 12,47",Ambos,36.500815,-5.362542,"A-405, kilómetro 6,24, Málaga (Spain)"
A-7053,Radar móvil,"0,00 - 14,85",Ambos,36.568529,-4.699844,"A-7053, kilómetro 7,43, Málaga (Spain)"
A-7054,Radar móvil,"0,00 - 3,17",Ambos,36.705993,-4.51573,"A-7054, kilómetro 1,59, Málaga (Spain)"
A-7054,Radar móvil,"3,17 - 24,92",Ambos,36.730769,-4.627038,"A-7054, kilómetro 14,05, Málaga (Spain)"
A-7057,Radar móvil,"0,00 - 4,20",Ambos,36.716941,-4.622854,"A-7057, kilómetro 2,10, Málaga (Spain)"
A-7059,Radar móvil,"0,60 - 12,45",Ambos,36.683083,-4.698857,"A-7059, kilómetro 6,53, Málaga (Spain)"
A-7075,Radar móvil,"0,00 - 51,55",Ambos,36.86066,-4.515712,"A-7075, kilómetro 25,78, Málaga (Spain)"
A-7206,Radar móvil,"0,00 - 17,11",Ambos,36.793317,-4.02144,"A-7206, kilómetro 8,56, Málaga (Spain)"
A-7282,Radar móvil,"8,10 - 12,90",Ambos,37.026644,-4.542464,"A-7282, kilómetro 10,50, Málaga (Spain)"
MA-3300,Radar móvil,"0,00 - 12,02",Ambos,36.682118,-4.63497,"MA-3300, kilómetro 6,01, Málaga (Spain)"
N-331,Radar móvil,"103,08 - 114,37",Ambos,37.158181,-4.555449,"N-331, kilómetro 108,73, Málaga (Spain)"
N-340,Radar móvil,"279,91 - 295,23",Ambos,36.741462,-3.916021,"N-340, kilómetro 287,57, Málaga (Spain)"
A-397,Radar de tramo,"28,02 (2,1 km)",Ronda,36.598074,-5.070178,"A-397, kilómetro 28,02, Málaga (Spain)"
A-397,Radar de tramo,"30,05 (2,1 km)",San Pedro de Alcántara,36.586672,-5.067694,"A-397, kilómetro 30,05, Málaga (Spain)"
A-45,Radar de tramo,"128,78 (2,8 km)",Málaga,36.861165,-4.438694,"A-45, kilómetro 128,78, Málaga (Spain)"
A-45,Radar de tramo,"140,276 (6,1 km)",Málaga,36.778008,-4.426944,"A-45, kilómetro 140,28, Málaga (Spain)"
A-7,Radar de tramo,"1025 (5,2 km)",Creciente,36.506848,-4.722399,"A-7, kilómetro 200,15, Málaga (Spain)"
A-7,Radar de tramo,"1022 (5,2 km)",Decreciente,36.530959,-4.68243,"A-7, kilómetro 205,27, Málaga (Spain)"
A-7,Radar de tramo,"936 (1,1 km)",Decreciente,36.755801,-3.931767,"A-7, kilómetro 288,74, Málaga (Spain)"
